Swiss exports by trading partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T 6.5.4
In CHF millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total 1 2 4,, 88 257, 87 947, 92 142, 93 289, 95 827, 96 236, 98 589, 110 417, 114 055, 120 725, 136 015, 138 492, 142 923, 141 158, 152 757, 162 991, 185 216, 206 252, 215 984, 187 448, 203 484, 208 203, 292 958, 332 137, 285 179, 279 155, 298 408, 294 894, 303 886, 311 977, 299 462, 347 728, 382 668, 377 800, 393 834
Europe,, 60 001, 59 802, 62 330, 61 120, 62 659, 63 356, 63 609, 70 481, 75 870, 78 479, 85 426, 89 331, 91 237, 91 390, 98 739, 105 602, 118 217, 133 075, 137 527, 116 042, 123 984, 123 683, 153 408, 134 121, 133 458, 125 070, 147 546, 137 289, 139 474, 160 031, 142 681, 163 773, 174 304, 169 076, 183 663
,EU, 51 379, 52 518, 55 253, 53 636, 55 144, 56 381, 56 115, 62 574, 67 547, 70 692, 76 312, 79 806, 82 016, 82 459, 88 649, 93 891, 105 398, 117 634, 120 895, 102 821, 107 600, 108 741, 119 886, 116 396, 115 933, 108 016, 112 139, 116 736, 124 094, 126 802, 122 084, 145 289, 156 416, 150 918, 159 279
,Austria, 3 266, 3 333, 3 365, 3 551, 3 431, 3 429, 3 026, 3 383, 3 574, 3 871, 4 158, 4 473, 4 740, 4 661, 4 901, 5 169, 5 848, 6 316, 5 999, 5 478, 6 469, 6 626, 8 040, 8 320, 7 840, 7 527, 7 237, 8 134, 7 479, 6 361, 7 696, 9 375, 10 315, 9 654, 7 724
,Belgium ³, 2 032, 2 067, 2 516, 2 347, 2 367, 2 155, 2 332, 2 614, 2 601, 2 443, 2 579, 2 713, 3 017, 2 758, 2 856, 2 932, 3 238, 3 922, 4 187, 3 890, 3 874, 4 224, 4 991, 5 397, 5 852, 5 608, 6 094, 4 393, 4 394, 4 662, 4 254, 4 625, 4 804, 5 166, 4 879
,France, 8 748, 8 465, 8 726, 8 503, 8 802, 9 166, 9 185, 9 980, 10 875, 11 093, 11 956, 12 386, 13 081, 12 417, 13 512, 14 136, 15 854, 17 216, 18 523, 15 686, 15 578, 14 865, 21 876, 19 186, 17 317, 16 804, 17 287, 17 230, 19 718, 19 237, 15 430, 17 566, 20 006, 18 052, 18 551
,Germany, 19 307, 20 907, 21 593, 21 401, 22 440, 22 912, 22 335, 24 696, 26 287, 27 231, 29 174, 30 014, 29 043, 29 224, 30 922, 31 692, 36 396, 41 920, 42 549, 36 059, 39 278, 41 956, 43 893, 42 047, 43 440, 39 661, 42 734, 45 166, 47 251, 47 685, 46 081, 50 613, 51 030, 46 041, 45 218
,Italy, 7 850, 7 635, 8 058, 7 255, 7 135, 7 300, 7 409, 8 243, 8 783, 9 588, 10 461, 11 039, 12 767, 12 783, 13 712, 14 816, 16 331, 17 973, 18 770, 15 808, 15 981, 16 290, 16 784, 16 831, 16 160, 14 936, 14 390, 15 849, 16 472, 16 063, 14 600, 18 478, 24 015, 24 308, 24 703
,Netherlands, 2 392, 2 396, 2 525, 2 558, 2 554, 2 589, 2 577, 2 892, 3 339, 3 799, 4 152, 4 223, 4 171, 4 485, 4 463, 5 548, 6 076, 6 226, 6 324, 5 363, 5 781, 5 151, 5 177, 5 364, 5 240, 4 820, 5 164, 5 346, 5 327, 6 047, 6 247, 6 725, 6 871, 6 433, 6 362
,Poland,  304,  407,  416,  401,  470,  559,  660,  838,  904, 1 007, 1 132, 1 210, 1 157, 1 144, 1 346, 1 419, 1 741, 2 166, 2 447, 1 819, 2 069, 1 976, 1 894, 2 082, 2 209, 2 104, 2 174, 2 249, 2 699, 2 670, 2 642, 2 990, 2 942, 3 010, 3 056
,Russia,….,….,  267,  327,  430,  365,  429,  593,  525,  355,  556,  833,  885, 1 079, 1 212, 1 555, 2 245, 2 926, 3 180, 2 131, 2 690, 3 011, 2 964, 3 143, 2 908, 2 305, 2 018, 2 261, 2 523, 3 119, 2 808, 3 372, 3 033, 2 587, 2 230
,Spain, 1 880, 2 073, 2 176, 1 860, 1 901, 2 023, 2 202, 2 703, 3 214, 3 493, 3 773, 4 353, 4 547, 4 904, 5 976, 6 595, 6 973, 7 574, 7 388, 6 528, 6 372, 5 797, 5 510, 5 346, 5 846, 5 385, 5 572, 5 794, 6 852, 7 825, 7 530, 12 626, 10 160, 7 722, 6 841
,United Kingdom, 6 573, 5 811, 6 063, 6 409, 6 360, 5 861, 6 208, 6 402, 6 751, 6 604, 7 689, 7 677, 7 289, 6 768, 7 677, 8 803, 8 954, 10 529, 11 116, 9 428, 12 033, 9 953, 28 281, 12 307, 12 636, 13 089, 31 976, 16 734, 10 987, 28 143, 15 784, 12 835, 12 708, 13 234, 19 820
Asia,, 15 650, 15 138, 15 915, 17 825, 18 155, 18 526, 19 424, 21 365, 18 077, 19 675, 24 161, 24 046, 25 655, 25 515, 28 305, 29 486, 34 233, 38 987, 43 012, 38 791, 44 068, 48 219, 98 533, 153 769, 105 621, 108 290, 98 653, 104 851, 106 659, 89 611, 72 377, 110 213, 128 143, 134 310, 126 407
,China,  415,  471,  620,  943,  863,  843,  888,  938,  809,  990, 1 403, 1 668, 2 070, 2 485, 3 107, 3 467, 4 105, 5 419, 6 111, 5 501, 7 467, 8 841, 9 307, 19 453, 16 859, 19 264, 26 769, 23 964, 29 587, 21 437, 16 363, 30 221, 42 115, 40 595, 37 276
,United Arab Emirates,  312,  346,  523,  460,  487,  434,  515,  610,  625,  592,  679,  826, 1 083, 1 004, 1 133, 1 402, 1 754, 1 971, 2 841, 2 226, 2 251, 2 786, 5 099, 8 601, 5 903, 5 093, 4 292, 4 046, 4 840, 3 740, 2 780, 4 229, 5 771, 10 014, 9 963
,Hong Kong, 2 265, 2 287, 2 592, 2 924, 3 160, 2 843, 2 697, 3 198, 2 565, 2 912, 3 841, 4 039, 4 766, 4 144, 4 237, 4 012, 4 694, 5 297, 6 219, 5 427, 6 535, 7 927, 15 178, 47 765, 22 157, 24 237, 18 291, 15 743, 15 670, 9 909, 5 958, 9 322, 7 066, 13 675, 10 758
,India,  393,  310,  358,  405,  534,  660,  666,  591,  581,  512,  656,  656,  659,  759, 1 034, 1 387, 1 887, 2 304, 2 407, 2 155, 2 564, 2 983, 28 713, 23 980, 19 342, 20 613, 14 325, 19 511, 17 446, 17 947, 10 852, 28 706, 14 301, 15 074, 19 890
