"year","Exports_EU","Imports_EU"
1990,60001,71024
1991,59802,68056
1992,62330,67840
1993,61120,65027
1994,62659,68192
1995,63356,71156
1996,63609,71212
1997,70481,78907
1998,75870,83210
1999,78479,88370
2000,85426,98031
2001,89331,102451
2002,91237,101205
2003,91390,103734
2004,98739,110694
2005,105602,119451
2006,118217,132444
2007,133075,145602
2008,137527,148514
2009,116042,125560
2010,123984,135057
2011,123683,137626
2012,153408,156341
2013,134121,143680
2014,133458,135909
2015,125070,125631
2016,147546,129680
2017,137289,137289
2018,139474,144754
2019,160031,147047
2020,142681,136209
2021,163773,145600
2022,174304,170852
2023,169076,169115
2024,183663,172655
