"year","Exports_EU","Imports_EU","Exports_EU_bn","Imports_EU_bn"
1990,60001,71024,60.001,71.024
1991,59802,68056,59.802,68.056
1992,62330,67840,62.33,67.84
1993,61120,65027,61.12,65.027
1994,62659,68192,62.659,68.192
1995,63356,71156,63.356,71.156
1996,63609,71212,63.609,71.212
1997,70481,78907,70.481,78.907
1998,75870,83210,75.87,83.21
1999,78479,88370,78.479,88.37
2000,85426,98031,85.426,98.031
2001,89331,102451,89.331,102.451
2002,91237,101205,91.237,101.205
2003,91390,103734,91.39,103.734
2004,98739,110694,98.739,110.694
2005,105602,119451,105.602,119.451
2006,118217,132444,118.217,132.444
2007,133075,145602,133.075,145.602
2008,137527,148514,137.527,148.514
2009,116042,125560,116.042,125.56
2010,123984,135057,123.984,135.057
2011,123683,137626,123.683,137.626
2012,153408,156341,153.408,156.341
2013,134121,143680,134.121,143.68
2014,133458,135909,133.458,135.909
2015,125070,125631,125.07,125.631
2016,147546,129680,147.546,129.68
2017,137289,137289,137.289,137.289
2018,139474,144754,139.474,144.754
2019,160031,147047,160.031,147.047
2020,142681,136209,142.681,136.209
2021,163773,145600,163.773,145.6
2022,174304,170852,174.304,170.852
2023,169076,169115,169.076,169.115
2024,183663,172655,183.663,172.655
