"Jahr","Grossregion","Schweizer/innen und Ausländer/innen","Berufliche Stellung","Geschlecht","Zentralwert","P10","P25","P75","P90"
"2024","Schweiz","Schweizer/innen und Ausländer/innen - Total","Berufliche Stellung - Total","Geschlecht - Total",7024,4635,5524,9326,12526
"2024","Schweiz","Schweizer/innen und Ausländer/innen - Total","Berufliche Stellung - Total","Frauen",6666,4421,5176,8627,11145
"2024","Schweiz","Schweizer/innen und Ausländer/innen - Total","Berufliche Stellung - Total","Männer",7276,4847,5778,9880,13472
"2024","Schweiz","Schweizer/innen und Ausländer/innen - Total","Oberes und mittleres Kader","Geschlecht - Total",11174,6190,8247,15225,22243
"2024","Schweiz","Schweizer/innen und Ausländer/innen - Total","Oberes und mittleres Kader","Frauen",10077,5524,7529,13468,19274
"2024","Schweiz","Schweizer/innen und Ausländer/innen - Total","Oberes und mittleres Kader","Männer",11715,6536,8601,15925,23501
"2024","Schweiz","Schweizer/innen und Ausländer/innen - Total","Unteres Kader","Geschlecht - Total",9493,6063,7582,11816,14780
"2024","Schweiz","Schweizer/innen und Ausländer/innen - Total","Unteres Kader","Frauen",8915,5595,7128,11092,13761
"2024","Schweiz","Schweizer/innen und Ausländer/innen - Total","Unteres Kader","Männer",9856,6387,7853,12198,15318
"2024","Schweiz","Schweizer/innen und Ausländer/innen - Total","Verantwortlich für die Ausführung der Arbeiten","Geschlecht - Total",7740,5242,6292,9709,11972
"2024","Schweiz","Schweizer/innen und Ausländer/innen - Total","Verantwortlich für die Ausführung der Arbeiten","Frauen",7424,4909,5949,9183,11259
"2024","Schweiz","Schweizer/innen und Ausländer/innen - Total","Verantwortlich für die Ausführung der Arbeiten","Männer",7949,5491,6499,10065,12321
"2024","Schweiz","Schweizer/innen und Ausländer/innen - Total","Ohne Kaderfunktion","Geschlecht - Total",6368,4468,5189,7907,9878
"2024","Schweiz","Schweizer/innen und Ausländer/innen - Total","Ohne Kaderfunktion","Frauen",6160,4306,4953,7739,9548
"2024","Schweiz","Schweizer/innen und Ausländer/innen - Total","Ohne Kaderfunktion","Männer",6499,4637,5392,8044,10133
"2024","Schweiz","Schweizer/innen","Berufliche Stellung - Total","Geschlecht - Total",7480,4972,5959,9756,12778
"2024","Schweiz","Schweizer/innen","Berufliche Stellung - Total","Frauen",6983,4736,5559,8825,11126
"2024","Schweiz","Schweizer/innen","Berufliche Stellung - Total","Männer",7920,5257,6303,10551,13977
"2024","Schweiz","Schweizer/innen","Oberes und mittleres Kader","Geschlecht - Total",10989,6330,8258,14564,20257
"2024","Schweiz","Schweizer/innen","Oberes und mittleres Kader","Frauen",9800,5542,7440,12666,16751
"2024","Schweiz","Schweizer/innen","Oberes und mittleres Kader","Männer",11597,6708,8691,15348,21472
"2024","Schweiz","Schweizer/innen","Unteres Kader","Geschlecht - Total",9430,6271,7664,11589,13998
"2024","Schweiz","Schweizer/innen","Unteres Kader","Frauen",8768,5728,7132,10763,12946
"2024","Schweiz","Schweizer/innen","Unteres Kader","Männer",9864,6677,8019,12022,14567
"2024","Schweiz","Schweizer/innen","Verantwortlich für die Ausführung der Arbeiten","Geschlecht - Total",7936,5491,6553,9802,11930
"2024","Schweiz","Schweizer/innen","Verantwortlich für die Ausführung der Arbeiten","Frauen",7515,5137,6149,9149,11054
"2024","Schweiz","Schweizer/innen","Verantwortlich für die Ausführung der Arbeiten","Männer",8242,5824,6842,10291,12369
"2024","Schweiz","Schweizer/innen","Ohne Kaderfunktion","Geschlecht - Total",6765,4790,5568,8291,10192
"2024","Schweiz","Schweizer/innen","Ohne Kaderfunktion","Frauen",6525,4636,5316,7985,9722
"2024","Schweiz","Schweizer/innen","Ohne Kaderfunktion","Männer",6982,4994,5811,8589,10592
"2024","Schweiz","Ausländer/innen","Berufliche Stellung - Total","Geschlecht - Total",6235,4281,4988,8361,11952
"2024","Schweiz","Ausländer/innen","Berufliche Stellung - Total","Frauen",5812,4039,4641,8110,11211
"2024","Schweiz","Ausländer/innen","Berufliche Stellung - Total","Männer",6405,4478,5236,8532,12382
"2024","Schweiz","Ausländer/innen","Oberes und mittleres Kader","Geschlecht - Total",12007,5782,8097,18323,28918
"2024","Schweiz","Ausländer/innen","Oberes und mittleres Kader","Frauen",11526,5478,7946,17149,25852
"2024","Schweiz","Ausländer/innen","Oberes und mittleres Kader","Männer",12225,5936,8178,18891,30201
"2024","Schweiz","Ausländer/innen","Unteres Kader","Geschlecht - Total",9661,5647,7330,12461,16886
"2024","Schweiz","Ausländer/innen","Unteres Kader","Frauen",9359,5319,7111,11982,16272
"2024","Schweiz","Ausländer/innen","Unteres Kader","Männer",9830,5837,7433,12659,17289
"2024","Schweiz","Ausländer/innen","Verantwortlich für die Ausführung der Arbeiten","Geschlecht - Total",7317,4851,5872,9509,12074
"2024","Schweiz","Ausländer/innen","Verantwortlich für die Ausführung der Arbeiten","Frauen",7187,4531,5525,9294,11754
"2024","Schweiz","Ausländer/innen","Verantwortlich für die Ausführung der Arbeiten","Männer",7385,5065,6024,9617,12223
"2024","Schweiz","Ausländer/innen","Ohne Kaderfunktion","Geschlecht - Total",5790,4171,4784,7218,9223
"2024","Schweiz","Ausländer/innen","Ohne Kaderfunktion","Frauen",5355,3958,4501,7096,9106
"2024","Schweiz","Ausländer/innen","Ohne Kaderfunktion","Männer",5979,4345,5015,7272,9311
"2024","Schweiz","> Kurzaufenthalter/innen (Kat. L)","Berufliche Stellung - Total","Geschlecht - Total",5184,3540,4181,6289,7667
"2024","Schweiz","> Kurzaufenthalter/innen (Kat. L)","Berufliche Stellung - Total","Frauen",4408,3398,3813,5522,7932
"2024","Schweiz","> Kurzaufenthalter/innen (Kat. L)","Berufliche Stellung - Total","Männer",5531,3637,4434,6401,7588
"2024","Schweiz","> Kurzaufenthalter/innen (Kat. L)","Oberes und mittleres Kader","Geschlecht - Total",6777,5205,5417,12046,18239
"2024","Schweiz","> Kurzaufenthalter/innen (Kat. L)","Oberes und mittleres Kader","Frauen",6476,5155,5416,11106,14362
"2024","Schweiz","> Kurzaufenthalter/innen (Kat. L)","Oberes und mittleres Kader","Männer",7500,5205,5837,14806,19361
"2024","Schweiz","> Kurzaufenthalter/innen (Kat. L)","Unteres Kader","Geschlecht - Total",7167,4247,5429,9524,11970
"2024","Schweiz","> Kurzaufenthalter/innen (Kat. L)","Unteres Kader","Frauen",7167,4300,4983,9536,12125
"2024","Schweiz","> Kurzaufenthalter/innen (Kat. L)","Unteres Kader","Männer",7182,4000,5526,9524,11713
"2024","Schweiz","> Kurzaufenthalter/innen (Kat. L)","Verantwortlich für die Ausführung der Arbeiten","Geschlecht - Total",5800,3625,4600,8115,9018
"2024","Schweiz","> Kurzaufenthalter/innen (Kat. L)","Verantwortlich für die Ausführung der Arbeiten","Frauen",5972,3583,4300,8115,8961
"2024","Schweiz","> Kurzaufenthalter/innen (Kat. L)","Verantwortlich für die Ausführung der Arbeiten","Männer",5732,3637,4780,8063,9100
"2024","Schweiz","> Kurzaufenthalter/innen (Kat. L)","Ohne Kaderfunktion","Geschlecht - Total",5067,3494,4135,6178,7276
"2024","Schweiz","> Kurzaufenthalter/innen (Kat. L)","Ohne Kaderfunktion","Frauen",4321,3396,3788,5184,7176
"2024","Schweiz","> Kurzaufenthalter/innen (Kat. L)","Ohne Kaderfunktion","Männer",5463,3592,4383,6326,7301
"2024","Schweiz","> Aufenthalter/innen (Kat. B)","Berufliche Stellung - Total","Geschlecht - Total",5834,4133,4706,8061,11778
"2024","Schweiz","> Aufenthalter/innen (Kat. B)","Berufliche Stellung - Total","Frauen",5475,3941,4438,7927,11213
"2024","Schweiz","> Aufenthalter/innen (Kat. B)","Berufliche Stellung - Total","Männer",5971,4323,4917,8132,12121
"2024","Schweiz","> Aufenthalter/innen (Kat. B)","Oberes und mittleres Kader","Geschlecht - Total",13090,5394,8227,22124,34233
"2024","Schweiz","> Aufenthalter/innen (Kat. B)","Oberes und mittleres Kader","Frauen",12379,5134,8018,19771,30650
"2024","Schweiz","> Aufenthalter/innen (Kat. B)","Oberes und mittleres Kader","Männer",13432,5470,8303,23157,36306
"2024","Schweiz","> Aufenthalter/innen (Kat. B)","Unteres Kader","Geschlecht - Total",9875,5462,7249,12798,18852
"2024","Schweiz","> Aufenthalter/innen (Kat. B)","Unteres Kader","Frauen",9524,5360,7174,12289,17440
"2024","Schweiz","> Aufenthalter/innen (Kat. B)","Unteres Kader","Männer",10111,5528,7261,13169,20108
"2024","Schweiz","> Aufenthalter/innen (Kat. B)","Verantwortlich für die Ausführung der Arbeiten","Geschlecht - Total",7518,4714,5762,9796,12506
"2024","Schweiz","> Aufenthalter/innen (Kat. B)","Verantwortlich für die Ausführung der Arbeiten","Frauen",7402,4464,5520,9479,12079
"2024","Schweiz","> Aufenthalter/innen (Kat. B)","Verantwortlich für die Ausführung der Arbeiten","Männer",7588,4923,5829,10005,12728
"2024","Schweiz","> Aufenthalter/innen (Kat. B)","Ohne Kaderfunktion","Geschlecht - Total",5421,4047,4571,6934,9009
"2024","Schweiz","> Aufenthalter/innen (Kat. B)","Ohne Kaderfunktion","Frauen",5030,3893,4320,6889,8857
"2024","Schweiz","> Aufenthalter/innen (Kat. B)","Ohne Kaderfunktion","Männer",5615,4230,4763,6963,9124
"2024","Schweiz","> Niedergelassene (Kat. C)","Berufliche Stellung - Total","Geschlecht - Total",6559,4559,5286,8850,12850
"2024","Schweiz","> Niedergelassene (Kat. C)","Berufliche Stellung - Total","Frauen",5954,4278,4837,8330,11681
"2024","Schweiz","> Niedergelassene (Kat. C)","Berufliche Stellung - Total","Männer",6813,4891,5672,9206,13560
"2024","Schweiz","> Niedergelassene (Kat. C)","Oberes und mittleres Kader","Geschlecht - Total",11966,5951,8132,17931,28024
"2024","Schweiz","> Niedergelassene (Kat. C)","Oberes und mittleres Kader","Frauen",11583,5684,8098,16866,24803
"2024","Schweiz","> Niedergelassene (Kat. C)","Oberes und mittleres Kader","Männer",12129,6000,8180,18393,29453
