"Migrations internationales de la population résidante permanente selon la nationalité, le sexe et l'âge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T 01.05.04.01.01
,Solde migratoire 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011 2,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total,"61,440 ","40,156 ","39,512 ","30,883 ","14,458 ","-5,807 ","-6,834 ","1,177 ","16,149 ","20,224 ","41,843 ","48,921 ","43,027 ","40,462 ","36,180 ","39,368 ","75,459 ","98,167 ","74,587 ","64,939 ","68,118 ","71,127 ","87,106 ","76,223 ","71,884 ","71,030 ","45,948 ","39,860 ","43,352 ","53,804 ","48,871 ","68,760 ","139,118 ","82,792 "
Suisses,"1,783 ","-5,373 ","-5,406 ","-7,101 ","-7,142 ","-8,217 ","-8,558 ","-7,008 ","-4,748 ","-4,674 ","-1,426 ","-2,576 ","-4,739 ","-7,422 ","-8,476 ","-10,070 ","-7,708 ","-5,196 ","-4,446 ","-4,028 ","-5,652 ","-6,020 ","-2,435 ","-2,319 ","-4,151 ","-6,289 ","-8,037 ","-7,892 ","-7,397 ",-279 ,"-6,582 ","-9,434 ","-8,633 ","-7,571 "
Hommes,"-1,166 ","-2,526 ","-2,298 ","-3,287 ","-3,253 ","-3,758 ","-4,001 ","-3,166 ","-2,004 ","-1,841 ",-365 ,-989 ,"-1,929 ","-3,537 ","-4,002 ","-5,224 ","-3,870 ","-2,603 ","-2,093 ","-2,085 ","-2,951 ","-3,161 ","-1,462 ","-1,379 ","-2,205 ","-3,133 ","-3,951 ","-3,988 ","-3,595 ",120 ,"-3,194 ","-4,901 ","-4,482 ","-3,927 "
Femmes,"2,949 ","-2,847 ","-3,108 ","-3,814 ","-3,889 ","-4,459 ","-4,557 ","-3,842 ","-2,744 ","-2,833 ","-1,061 ","-1,587 ","-2,810 ","-3,885 ","-4,474 ","-4,846 ","-3,838 ","-2,593 ","-2,353 ","-1,943 ","-2,701 ","-2,859 ",-973 ,-940 ,"-1,946 ","-3,156 ","-4,086 ","-3,904 ","-3,802 ",-399 ,"-3,388 ","-4,533 ","-4,151 ","-3,644 "
Âge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0–14 ans,"1,464 ",481 ,332 ,91 ,-38 ,65 ,-267 ,27 ,565 ,165 ,894 ,611 ,161 ,-77 ,-364 ,-434 ,42 ,385 ,389 ,708 ,-209 ,-315 ,445 ,749 ,269 ,247 ,13 ,152 ,-3 ,"1,086 ",-42 ,-477 ,-336 ,-70 
15–19 ans,412 ,55 ,18 ,-13 ,-61 ,-169 ,-216 ,-109 ,-54 ,20 ,139 ,28 ,-77 ,-280 ,-299 ,-379 ,-260 ,-102 ,-36 ,-35 ,46 ,89 ,286 ,356 ,271 ,216 ,0 ,193 ,75 ,449 ,254 ,92 ,165 ,170 
20–39 ans,73 ,"-4,812 ","-4,339 ","-5,422 ","-5,174 ","-5,664 ","-5,660 ","-4,699 ","-3,598 ","-3,031 ","-1,396 ","-1,970 ","-2,974 ","-4,547 ","-5,050 ","-5,814 ","-4,625 ","-3,626 ","-2,877 ","-3,028 ","-3,543 ","-3,631 ","-2,430 ","-2,501 ","-2,759 ","-3,732 ","-4,036 ","-3,839 ","-3,352 ",-67 ,"-3,146 ","-4,116 ","-3,279 ","-2,768 "
