netto_zuwanderung,bip_wachstum,arbeitslosenquote
20072,-0.915816616547943,1.818
3446,-0.0437330086271288,2.344
8568,-0.125983460416222,3.551
14321,1.26975779924055,3.58
4661,0.480866374676907,3.094
-8689,0.471280025458157,3.684
-10589,2.26132529914345,4.127
-6268,3.02996930632413,3.568
-970,1.66270104939127,3.053
4343,3.95871990780931,2.658
11966,1.57566198688916,2.49
21287,-0.0732172569941127,2.924
23787,-0.0323984255438887,4.117
26698,2.70170912949028,4.316
25047,2.74969910618739,4.437
28232,4.0736284178369,3.995
54736,3.91637577227581,3.641
70558,2.8079835919566,3.35
47502,-2.29737452570922,4.109
43099,3.24339715656356,4.808
46651,1.81310830459596,4.409
51023,1.17925385250513,4.491
58454,1.79214400716117,4.747
49126,2.34988141500179,4.826
41205,1.64462750849488,4.801
33736,2.06868969039562,4.918
25881,1.36279965488859,4.797
24681,2.86044579439036,4.713
25118,1.14198218965691,4.394
32001,-2.14173712008038,4.817
30188,5.55962020605844,5.013
42643,3.04406102969423,4.122
53447,0.683328174376044,4.043
47844,1.30233332541106,4.343
