"origin","origin_en","year","net_migration"
"Autriche","Austria",1991,569
"Autriche","Austria",1992,337
"Autriche","Austria",1993,121
"Autriche","Austria",1994,306
"Autriche","Austria",1995,-70
"Autriche","Austria",1996,48
"Autriche","Austria",1997,9
"Autriche","Austria",1998,107
"Autriche","Austria",1999,233
"Autriche","Austria",2000,863
"Autriche","Austria",2001,1196
"Autriche","Austria",2002,1384
"Autriche","Austria",2003,858
"Autriche","Austria",2004,994
"Autriche","Austria",2005,595
"Autriche","Austria",2006,315
"Autriche","Austria",2007,1430
"Autriche","Austria",2008,1805
"Autriche","Austria",2009,1300
"Autriche","Austria",2010,917
"Autriche","Austria",2011,1218
"Autriche","Austria",2012,1287
"Autriche","Austria",2013,1157
"Autriche","Austria",2014,1166
"Autriche","Austria",2015,1250
"Autriche","Austria",2016,1121
"Autriche","Austria",2017,1053
"Autriche","Austria",2018,913
"Autriche","Austria",2019,1043
"Autriche","Austria",2020,978
"Autriche","Austria",2021,1073
"Autriche","Austria",2022,1340
"Autriche","Austria",2023,1492
"Autriche","Austria",2024,1168
"Bosnie et Herzégovine","Bosnia and Herzegovina",1991,NA
"Bosnie et Herzégovine","Bosnia and Herzegovina",1992,69
"Bosnie et Herzégovine","Bosnia and Herzegovina",1993,3704
"Bosnie et Herzégovine","Bosnia and Herzegovina",1994,3493
"Bosnie et Herzégovine","Bosnia and Herzegovina",1995,1294
"Bosnie et Herzégovine","Bosnia and Herzegovina",1996,-121
"Bosnie et Herzégovine","Bosnia and Herzegovina",1997,118
"Bosnie et Herzégovine","Bosnia and Herzegovina",1998,17
"Bosnie et Herzégovine","Bosnia and Herzegovina",1999,309
"Bosnie et Herzégovine","Bosnia and Herzegovina",2000,395
"Bosnie et Herzégovine","Bosnia and Herzegovina",2001,817
"Bosnie et Herzégovine","Bosnia and Herzegovina",2002,1036
"Bosnie et Herzégovine","Bosnia and Herzegovina",2003,864
"Bosnie et Herzégovine","Bosnia and Herzegovina",2004,949
"Bosnie et Herzégovine","Bosnia and Herzegovina",2005,751
"Bosnie et Herzégovine","Bosnia and Herzegovina",2006,729
"Bosnie et Herzégovine","Bosnia and Herzegovina",2007,672
"Bosnie et Herzégovine","Bosnia and Herzegovina",2008,767
"Bosnie et Herzégovine","Bosnia and Herzegovina",2009,484
"Bosnie et Herzégovine","Bosnia and Herzegovina",2010,508
"Bosnie et Herzégovine","Bosnia and Herzegovina",2011,172
"Bosnie et Herzégovine","Bosnia and Herzegovina",2012,297
"Bosnie et Herzégovine","Bosnia and Herzegovina",2013,347
"Bosnie et Herzégovine","Bosnia and Herzegovina",2014,306
"Bosnie et Herzégovine","Bosnia and Herzegovina",2015,343
"Bosnie et Herzégovine","Bosnia and Herzegovina",2016,285
"Bosnie et Herzégovine","Bosnia and Herzegovina",2017,205
"Bosnie et Herzégovine","Bosnia and Herzegovina",2018,211
"Bosnie et Herzégovine","Bosnia and Herzegovina",2019,87
"Bosnie et Herzégovine","Bosnia and Herzegovina",2020,47
"Bosnie et Herzégovine","Bosnia and Herzegovina",2021,-1
"Bosnie et Herzégovine","Bosnia and Herzegovina",2022,62
"Bosnie et Herzégovine","Bosnia and Herzegovina",2023,26
"Bosnie et Herzégovine","Bosnia and Herzegovina",2024,-38
"Croatie","Croatia",1991,NA
"Croatie","Croatia",1992,429
"Croatie","Croatia",1993,1416
"Croatie","Croatia",1994,1961
"Croatie","Croatia",1995,858
"Croatie","Croatia",1996,-688
"Croatie","Croatia",1997,-844
"Croatie","Croatia",1998,-1040
"Croatie","Croatia",1999,-225
"Croatie","Croatia",2000,89
"Croatie","Croatia",2001,445
"Croatie","Croatia",2002,341
"Croatie","Croatia",2003,229
"Croatie","Croatia",2004,92
"Croatie","Croatia",2005,-22
"Croatie","Croatia",2006,-75
"Croatie","Croatia",2007,-38
"Croatie","Croatia",2008,20
"Croatie","Croatia",2009,71
"Croatie","Croatia",2010,-55
"Croatie","Croatia",2011,16
"Croatie","Croatia",2012,11
"Croatie","Croatia",2013,-126
"Croatie","Croatia",2014,126
"Croatie","Croatia",2015,104
"Croatie","Croatia",2016,118
"Croatie","Croatia",2017,142
"Croatie","Croatia",2018,360
"Croatie","Croatia",2019,239
"Croatie","Croatia",2020,257
"Croatie","Croatia",2021,212
"Croatie","Croatia",2022,2928
"Croatie","Croatia",2023,1473
"Croatie","Croatia",2024,871
"France","France",1991,1173
"France","France",1992,1227
"France","France",1993,1020
"France","France",1994,1768
"France","France",1995,1159
"France","France",1996,958
"France","France",1997,1170
"France","France",1998,1715
"France","France",1999,2181
"France","France",2000,2377
"France","France",2001,2200
"France","France",2002,2752
"France","France",2003,2636
"France","France",2004,2639
"France","France",2005,2714
"France","France",2006,3505
"France","France",2007,6848
"France","France",2008,8763
"France","France",2009,5856
"France","France",2010,4940
"France","France",2011,5365
"France","France",2012,5308
"France","France",2013,7460
"France","France",2014,7867
"France","France",2015,7582
"France","France",2016,6418
"France","France",2017,6392
"France","France",2018,5206
"France","France",2019,5715
"France","France",2020,8476
"France","France",2021,7296
"France","France",2022,8480
"France","France",2023,10631
"France","France",2024,10448
"Allemagne","Germany",1991,2667
"Allemagne","Germany",1992,2556
"Allemagne","Germany",1993,1474
"Allemagne","Germany",1994,2537
"Allemagne","Germany",1995,1779
"Allemagne","Germany",1996,1887
"Allemagne","Germany",1997,2132
"Allemagne","Germany",1998,3239
"Allemagne","Germany",1999,4534
"Allemagne","Germany",2000,6037
"Allemagne","Germany",2001,7685
"Allemagne","Germany",2002,8885
"Allemagne","Germany",2003,9027
"Allemagne","Germany",2004,11510
"Allemagne","Germany",2005,12910
"Allemagne","Germany",2006,16008
"Allemagne","Germany",2007,30595
"Allemagne","Germany",2008,34153
"Allemagne","Germany",2009,20741
"Allemagne","Germany",2010,16087
"Allemagne","Germany",2011,14346
"Allemagne","Germany",2012,11115
"Allemagne","Germany",2013,10457
"Allemagne","Germany",2014,8436
"Allemagne","Germany",2015,6715
"Allemagne","Germany",2016,6119
"Allemagne","Germany",2017,5594
"Allemagne","Germany",2018,6301
"Allemagne","Germany",2019,6561
"Allemagne","Germany",2020,7658
"Allemagne","Germany",2021,9024
"Allemagne","Germany",2022,12147
"Allemagne","Germany",2023,14518
"Allemagne","Germany",2024,13361
"Italie","Italy",1991,-1432
"Italie","Italy",1992,-6044
"Italie","Italy",1993,-3478
"Italie","Italy",1994,-2417
"Italie","Italy",1995,-4140
"Italie","Italy",1996,-6898
"Italie","Italy",1997,-6091
"Italie","Italy",1998,-4726
"Italie","Italy",1999,-3985
"Italie","Italy",2000,-3622
"Italie","Italy",2001,-2383
"Italie","Italy",2002,-297
"Italie","Italy",2003,-204
"Italie","Italy",2004,-153
"Italie","Italy",2005,-456
"Italie","Italy",2006,-472
"Italie","Italy",2007,2213
"Italie","Italy",2008,4993
"Italie","Italy",2009,3475
"Italie","Italy",2010,3987
"Italie","Italy",2011,5385
"Italie","Italy",2012,8523
"Italie","Italy",2013,11733
"Italie","Italy",2014,12049
"Italie","Italy",2015,10956
"Italie","Italy",2016,9980
"Italie","Italy",2017,6901
"Italie","Italy",2018,7126
"Italie","Italy",2019,6839
"Italie","Italy",2020,8735
"Italie","Italy",2021,7357
"Italie","Italy",2022,9149
"Italie","Italy",2023,9789
"Italie","Italy",2024,8197
"Kosovo","Kosovo",1991,NA
"Kosovo","Kosovo",1992,NA
"Kosovo","Kosovo",1993,NA
"Kosovo","Kosovo",1994,NA
"Kosovo","Kosovo",1995,NA
"Kosovo","Kosovo",1996,NA
"Kosovo","Kosovo",1997,NA
"Kosovo","Kosovo",1998,NA
"Kosovo","Kosovo",1999,NA
"Kosovo","Kosovo",2000,NA
"Kosovo","Kosovo",2001,NA
"Kosovo","Kosovo",2002,NA
"Kosovo","Kosovo",2003,NA
"Kosovo","Kosovo",2004,NA
"Kosovo","Kosovo",2005,NA
"Kosovo","Kosovo",2006,NA
"Kosovo","Kosovo",2007,NA
"Kosovo","Kosovo",2008,NA
"Kosovo","Kosovo",2009,NA
"Kosovo","Kosovo",2010,2271
"Kosovo","Kosovo",2011,1963
"Kosovo","Kosovo",2012,2043
"Kosovo","Kosovo",2013,2182
"Kosovo","Kosovo",2014,1971
"Kosovo","Kosovo",2015,2133
"Kosovo","Kosovo",2016,2027
"Kosovo","Kosovo",2017,2029
"Kosovo","Kosovo",2018,2081
"Kosovo","Kosovo",2019,1734
"Kosovo","Kosovo",2020,1448
"Kosovo","Kosovo",2021,1762
"Kosovo","Kosovo",2022,1735
"Kosovo","Kosovo",2023,1711
"Kosovo","Kosovo",2024,1421
"Monténégro","Montenegro",1991,NA
"Monténégro","Montenegro",1992,NA
