"kanton";"bevoelkerung";"anzahl";"flaeche_ha";"flaeche_pct";"produktiv_ha";"unproduktiv_ha";"baeume";"baeume_pro_person"
"Graubünden";201376;"10477";200943;"15.790863377000001";"161837";"39106";80377200;399.139917368505
"Uri";37047;"1510";20791;"1.6338356671000001";"16946";"3845";8316400;224.482414230572
"Glarus";41190;"1466";21150;"1.6620472493";"18540";"2610";8460000;205.389657683904
"Jura";73798;"3532";36290;"2.8518058949";"33765";"2525";14516000;196.699097536519
"Obwalden";38435;"1814";18659;"1.4662950177";"15526";"3133";7463600;194.187589436711
"Tessin";352181;"30104";142941;"11.232846139999999";"127419";"15522";57176400;162.349473708122
"Wallis";353209;"19905";109584;"8.6115265137999994";"90788";"18796";43833600;124.10102800325
"Appenzell I.Rh.";16360;"3024";4874;"0.38301741340000001";"4660";"214";1949600;119.168704156479
"Nidwalden";43894;"826";7772;"0.61075324919999996";"7093";"679";3108800;70.8251697270698
"Neuenburg";176166;"2948";30162;"2.3702444035000001";"27124";"3038";12064800;68.4854058104288
"Bern";1047422;"36690";179064;"14.071528540999999";"162218";"16846";71625600;68.3827530832845
"Schwyz";163689;"3449";27879;"2.1908376011000001";"27085";"794";11151600;68.1267525612595
"Waadt";822968;"27267";127751;"10.039158305000001";"95280";"32471";51100400;62.0928152734979
"Schaffhausen";83995;"2098";12762;"1.0028863828000001";"12679";"83";5104800;60.7750461336984
"Freiburg";329860;"14314";43039;"3.3821679225999999";"41913";"1126";17215600;52.1906263263203
"Appenzell A.Rh.";55585;"4266";7181;"0.56431022679999998";"6861";"320";2872400;51.6758118197355
"St.Gallen";519245;"16994";60000;"4.7150276576000003";"56634";"3366";24000000;46.2209554256661
"Solothurn";280245;"5245";31751;"2.4951140526";"27342";"4409";12700400;45.3189173758675
"Luzern";420326;"11293";40106;"3.1516816538999999";"39985";"121";16042400;38.1665659511903
"Thurgau";285964;"8918";20121;"1.5811845250000001";"20084";"37";8048400;28.1448014435383
"Aargau";703086;"14495";49217;"3.8676586036999998";"46452";"2765";19686800;28.0005575420361
"Basel-Landschaft";292817;"6136";20356;"1.5996517165999999";"19968";"388";8142400;27.8071286844685
"Zug";129787;"1242";6458;"0.50749414349999999";"6388";"70";2583200;19.9033801536363
"Zürich";1564662;"18424";50202;"3.9450636411";"49618";"584";20080800;12.8339539146474
"Genf";509448;"1595";3003;"0.23598713430000001";"2599";"404";1201200;2.35784613935083
"Basel-Stadt";196036;"164";471;"3.7012967100000002E-2";"471";"0";188400;0.961047970780877
